model,rmse,mae,r2
RandomForest,4.103424453857856,3.1216896082374115,0.4838678458293001
GBTRegressor,4.121378245725356,3.1244532264607714,0.4793414794305364
DecisionTree,4.179604573445297,3.170131361075249,0.46452595780834227
LinearRegression,4.845778573709865,3.649513680435972,0.2802276456850975
